country,continent,year,lifeExp,pop,gdpPercap
Bahrain,Asia,1952,50.939,120447,9867.084765
Mauritius,Africa,1952,50.986,516556,1967.955707
Reunion,Africa,1952,52.724,257700,2718.885295
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948
Chile,Americas,1952,54.745,6377619,3939.978789
Venezuela,Americas,1952,55.088,5439568,7689.799761
Panama,Americas,1952,55.191,940080,2480.380334
Albania,Europe,1952,55.23,1282697,1601.056136
Kuwait,Asia,1952,55.565,160000,108382.3529
Lebanon,Asia,1952,55.928,1439529,4834.804067
Costa Rica,Americas,1952,57.206,926317,2627.009471
Sri Lanka,Asia,1952,57.593,7982342,1083.53203
Serbia,Europe,1952,57.996,6860147,3581.459448
Taiwan,Asia,1952,58.5,8550362,1206.947913
Jamaica,Americas,1952,58.53,1426095,2898.530881
Trinidad and Tobago,Americas,1952,59.1,662850,3023.271928
Montenegro,Europe,1952,59.164,413834,2647.585601
Cuba,Americas,1952,59.421,6007797,5586.53878
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Portugal,Europe,1952,59.82,8526050,3068.319867
Singapore,Asia,1952,60.396,1127000,2315.138227
"Hong Kong, China",Asia,1952,60.96,2125900,3054.421209
Romania,Europe,1952,61.05,16630000,3144.613186
Croatia,Europe,1952,61.21,3882229,3119.23652
Poland,Europe,1952,61.31,25730551,4029.329699
Argentina,Americas,1952,62.485,17876956,5911.315053
Paraguay,Americas,1952,62.649,1555876,1952.308701
Japan,Asia,1952,63.03,86459025,3216.956347
Hungary,Europe,1952,64.03,9504000,5263.673816
Puerto Rico,Americas,1952,64.28,2227000,3081.959785
Slovak Republic,Europe,1952,64.36,3558137,5074.659104
Spain,Europe,1952,64.94,28549870,3834.034742
Israel,Asia,1952,65.39,1620914,4086.522128
Slovenia,Europe,1952,65.57,1489518,4215.041741
Greece,Europe,1952,65.86,7733250,3530.690067
Italy,Europe,1952,65.94,47666000,4931.404155
Uruguay,Americas,1952,66.071,2252965,5716.766744
Finland,Europe,1952,66.55,4090500,6424.519071
Austria,Europe,1952,66.8,6927772,6137.076492
Czech Republic,Europe,1952,66.87,9125183,6876.14025
Ireland,Europe,1952,66.91,2952156,5210.280328
France,Europe,1952,67.41,42459667,7029.809327
Germany,Europe,1952,67.5,69145952,7144.114393
Belgium,Europe,1952,68,8730405,8343.105127
United States,Americas,1952,68.44,157553000,13990.48208
Canada,Americas,1952,68.75,14785584,11367.16112
Australia,Oceania,1952,69.12,8691212,10039.59564
United Kingdom,Europe,1952,69.18,50430000,9979.508487
New Zealand,Oceania,1952,69.39,1994794,10556.57566
Switzerland,Europe,1952,69.62,4815000,14734.23275
Denmark,Europe,1952,70.78,4334000,9692.385245
Sweden,Europe,1952,71.86,7124673,8527.844662
Netherlands,Europe,1952,72.13,10381988,8941.571858
Iceland,Europe,1952,72.49,147962,7267.688428
Norway,Europe,1952,72.67,3327728,10095.42172
